method,accuracy,precision_weighted,recall_weighted,f1_weighted
TF-IDF + Logistic Regression,0.8984547461368654,0.899081809214559,0.8984547461368654,0.8986921412922896
FinBERT,0.9690949227373068,0.9711600085451827,0.9690949227373068,0.9694512513670558
