config_id,episodes,gamma,learning_rate,batch_size,hidden_dim,window_size,reward_risk_penalty,tau,score,with_sharpe,without_sharpe,buy_hold_sharpe,with_return,with_mdd
1,120,0.95,0.0003,64,128,96,0.04,0.02,-0.3330631906522764,-0.3693893350052455,-0.5315033502865696,-0.5810915481677259,-0.008174593305841459,-0.049267953617455014
3,120,0.98,0.0005,64,128,128,0.1,0.01,-0.4784943105069645,-0.3335159723390054,-0.31803987953268253,-0.5810915481677259,-0.004946780330686012,-0.04196692291226397
2,120,0.97,0.0005,64,128,96,0.08,0.02,-0.6863680202449257,-0.7484817403264568,-1.4385590005339324,-0.5810915481677259,-0.012709911919130611,-0.03800100397420583
4,120,0.95,0.0008,32,64,96,0.06,0.03,-2.314172119019506,-0.7242750615228996,-0.27289284716728146,-0.5810915481677259,-0.00674982619617955,-0.050231364993134665
5,120,0.99,0.0003,64,128,128,0.12,0.01,-4.4802894152527415,-1.3015768153132017,-0.572528008966262,-0.5810915481677259,-0.013277634622337183,-0.046488808186881975
