date,symbol,open,high,low,close,volume,return_1d,return_5d,ma50,ma200,macd,macd_signal,macd_hist,rsi,volatility_20,volume_ma20,volume_ratio_20,close_to_ma50,ma50_to_ma200,stock_id_0,stock_id_1,stock_id_2,sentiment_score,news_count,sentiment_score_raw,sentiment_ema_3,sentiment_ema_7,sentiment_change,sentiment_abs,days_since_news,news_count_log,days_since_news_log
2025-03-05,000001.SZ,11.52,11.67,11.48,11.66,108064544,0.01303214596003488,0.012152777777777901,11.5338,11.00525,0.024222726526391014,0.0256506298753526,-0.0014279033489615865,57.54716905126382,0.007282383676186277,108894187.05,0.9923811998374251,0.010941753801869458,0.04802707798550676,1.0,0.0,0.0,0.0004297836350070895,0,,0.0005218801282151942,0.0009107444315264885,-7.584417088360402e-05,0.0004297836350070895,46.0,0.0,3.8501476017100584
2025-03-06,000001.SZ,11.69,11.7,11.6,11.63,87740771,-0.002572898799313883,0.000860585197934638,11.5358,11.009599999999999,0.027506192004896235,0.02602174230126133,0.001484449703634906,53.8461531213018,0.007318630120385075,108503209.35,0.8086467812852763,0.00816588359714987,0.04779465194012511,1.0,0.0,0.0,0.00036531608975602604,0,,0.0004435981089856101,0.0007743873460838729,-6.446754525106345e-05,0.00036531608975602604,47.0,0.0,3.871201010907891
2025-03-07,000001.SZ,11.63,11.69,11.6,11.67,83553669,0.0034393809114359186,0.012142237640936804,11.536200000000001,11.013250000000001,0.03295613000651976,0.027408619842313017,0.0055475101642067405,43.52941104775089,0.0073350011996045515,105643429.7,0.790902654687289,0.011598273261559156,0.04748371280049035,1.0,0.0,0.0,0.00031051867629262213,0,,0.0003770583926391161,0.0006584201786360602,-5.4797413463403906e-05,0.00031051867629262213,48.0,0.0,3.8918202981106265
2025-03-10,000001.SZ,11.66,11.67,11.55,11.59,66383393,-0.006855184233076295,0.0069504778453519656,11.536200000000001,11.01635,0.030468689637345392,0.028020633801319493,0.002448055836025899,37.77777719012339,0.00751315260826399,103829644.7,0.6393491299310976,0.00466358072848938,0.04718895096833364,1.0,0.0,0.0,0.00026394087484872883,0,,0.0003204996337439225,0.0005598003526892274,-4.6577801443893304e-05,0.00026394087484872883,49.0,0.0,3.912023005428146
2025-03-11,000001.SZ,11.54,11.61,11.52,11.61,60897527,0.0017256255392579245,0.008688097306689846,11.536,11.019850000000002,0.029768060406372143,0.028370119122330024,0.0013979412840421195,43.90243827483631,0.007506561684543878,102651920.9,0.5932429365771371,0.00641470180305137,0.04683820560170937,1.0,0.0,0.0,0.0002243497436214195,0,,0.000272424688682671,0.0004759377004222754,-3.959113122730933e-05,0.0002243497436214195,50.0,0.0,3.9318256327243257
2025-03-12,000001.SZ,11.6,11.87,11.56,11.85,187731840,0.02067183462532296,0.016295025728988,11.5384,11.02495,0.048025196360379496,0.032301134569939924,0.015724061790439572,59.40593977061075,0.008709806672984124,107094478.75,1.752955354852969,0.027005477362545882,0.04657163978067924,1.0,0.0,0.0,0.00019069728207820658,0,,0.0002315609853804388,0.0004046275958362582,-3.365246154321292e-05,0.00019069728207820658,51.0,0.0,3.9512437185814275
2025-03-13,000001.SZ,11.81,11.91,11.78,11.84,131237121,-0.0008438818565400519,0.018056749785038573,11.538,11.0283,0.06098420377323066,0.03803774841059807,0.022946455362632588,59.999999160000016,0.008643564118928979,106863138.45,1.2280859696199573,0.026174380308545686,0.046217458719838955,1.0,0.0,0.0,0.0001620926897664756,0,,0.0001968268375734572,0.0003439938693188126,-2.8604592311730993e-05,0.0001620926897664756,52.0,0.0,3.970291913552122
2025-03-14,000001.SZ,11.82,12.0,11.82,11.97,172241765,0.010979729729729826,0.02570694087403602,11.539000000000001,11.03105,0.08081266594827596,0.04659273191813365,0.03421993403014231,67.59259171639242,0.008882744075740098,110609938.0,1.5571997246757339,0.03735159025912127,0.04604729377529804,1.0,0.0,0.0,0.00013777878630150426,0,,0.00016730281193748071,0.0002924400985644855,-2.431390346497133e-05,0.00013777878630150426,53.0,0.0,3.9889840465642745
2025-03-17,000001.SZ,11.63,11.67,11.46,11.5,460361210,-0.039264828738513,-0.007765314926660882,11.5318,11.031649999999999,0.05793396633102432,0.04886097880071179,0.009072987530312535,51.048950549171096,0.011888095698075548,123318171.4,3.733117388732217,-0.002757592049810187,0.04533773279609132,1.0,0.0,0.0,0.00011711196835627862,0,,0.00014220739014687966,0.0002486080660124338,-2.0666817945225638e-05,0.00011711196835627862,54.0,0.0,4.007333185232471
2025-03-18,000001.SZ,11.52,11.54,11.48,11.49,160529000,-0.0008695652173912327,-0.01033591731266148,11.525,11.03135,0.03855112228524504,0.04679900749761844,-0.0082478852123734,48.92086281662443,0.011856926351384233,121361568.95,1.322733394013196,-0.0030368763557483414,0.04474973597973064,1.0,0.0,0.0,9.954517310283683e-05,0,,0.00012087628162485824,0.00021134234278503454,-1.7566795253441794e-05,9.954517310283683e-05,55.0,0.0,4.02535169073515
