sharpe_ratio,max_drawdown,cumulative_return,stock,fold,strategy,train_rows,test_rows
0.18322899233076984,-0.043881856540084474,0.0024687500000000195,000001.SZ,1,Buy_and_Hold,160,42
0.1832287754923809,-0.04388189375730456,0.002468746554106671,000001.SZ,1,With_NLP,160,42
-2.1837125356713902,-0.04945475744310468,-0.040281510050863334,000001.SZ,1,Without_NLP,160,42
-3.543550100807192,-0.0719794344473007,-0.058135181975736416,000001.SZ,2,Buy_and_Hold,202,42
-4.02892486344378,-0.07544804883420853,-0.06517859661856995,000001.SZ,2,With_NLP,202,42
-4.19582868831557,-0.06548956648388238,-0.06048843261273529,000001.SZ,2,Without_NLP,202,42
1.9671899468199878,-0.05258386219401634,0.05963025210084005,000001.SZ,3,Buy_and_Hold,244,42
0.7258093313564875,-0.013290579355664911,0.010337365961880618,000001.SZ,3,With_NLP,244,42
0.0,0.0,0.0,000001.SZ,3,Without_NLP,244,42
0.32321970356222296,-0.044418872266973386,0.006686463092089312,600036.SH,1,Buy_and_Hold,160,42
-2.729664451017199,-0.010586425674881994,-0.010586425674881994,600036.SH,1,With_NLP,160,42
0.6827611080523615,-0.03039227843856951,0.014334243919585266,600036.SH,1,Without_NLP,160,42
-2.305979646212337,-0.12239644278024808,-0.06428830982548417,600036.SH,2,Buy_and_Hold,202,42
-2.313092598662251,-0.10042206669170606,-0.06012096795871047,600036.SH,2,With_NLP,202,42
-0.9188658102733672,-0.06507361404250334,-0.023188904343157013,600036.SH,2,Without_NLP,202,42
-0.573551914850015,-0.052841475573280006,-0.016528497409326492,600036.SH,3,Buy_and_Hold,244,42
-0.573550841860002,-0.052841450357067,-0.01652845853216378,600036.SH,3,With_NLP,244,42
-2.951191758375912,-0.002997000999999999,-0.0022395975365328002,600036.SH,3,Without_NLP,244,42
-1.3247881185894461,-0.050806233062330675,-0.023575134857436453,600519.SH,1,Buy_and_Hold,160,42
-1.2585193840101756,-0.04949022680078197,-0.02151365311494291,600519.SH,1,With_NLP,160,42
-3.7833182037392192,-0.02947703162947668,-0.027358008926964272,600519.SH,1,Without_NLP,160,42
0.4801953434269045,-0.08283601286173625,0.017034627739310526,600519.SH,2,Buy_and_Hold,202,42
0.48019419476701897,-0.08283605054260457,0.017034568231064418,600519.SH,2,With_NLP,202,42
2.471023390472863,-0.025540419171590778,0.09843709566431147,600519.SH,2,Without_NLP,202,42
-0.43578813919042797,-0.07407407407407418,-0.019665567593028732,600519.SH,3,Buy_and_Hold,244,42
0.7539970099722851,-0.03187800541781238,0.014279003179828331,600519.SH,3,With_NLP,244,42
-0.7392540768338786,-0.06303236797274281,-0.024462525018619674,600519.SH,3,Without_NLP,244,42
